URN,SCHNAME
100307,Stormont House School
100311,The Garden School
100312,Ickburgh School
100321,Addison Primary School
100322,Avonmore Primary School
100324,Brackenbury Primary School
100326,Miles Coverdale Primary School
100328,Flora Gardens Primary School
100329,Fulham Primary School
100330,New King's Primary School
100331,Kenmont Primary School
100332,Langford Primary School
100334,Melcombe Primary School
100335,Old Oak Primary School
100337,Queen's Manor School and Special Needs Unit
100338,Sir John Lillie Primary School
100339,Sulivan Primary School
100340,Wendell Park Primary School
100341,Wormholt Park Primary School
100343,Greenside Primary School
100344,All Saints CofE Primary School
100345,Holy Cross RC School
100346,John Betts Primary School
100347,St Augustine's RC Primary School
100349,St Johns Walham Green Church of England Primary School
100350,St Mary's Catholic Primary School
100351,St Paul's CofE Primary School
100352,St Peter's Primary School
100353,St Stephen's CofE Primary School
100354,Good Shepherd RC Primary School
100355,St John XXIII Catholic Primary School
100357,St Thomas of Canterbury Catholic Primary School
100359,Phoenix High School
100361,Hurlingham and Chelsea Secondary School
100366,St Paul's Girls' School
100368,Bute House Preparatory School
100369,The Godolphin and Latymer School
100370,Latymer Upper School
100371,Ecole Francaise de Londres Jacques Prevert
100372,Al-Muntada Islamic School
100373,Ravenscourt Park Preparatory School
100374,Sinclair House School
100375,L'Ecole des Petits School
100376,Le Herisson School
100378,Queensmill School
100379,Woodlane High School
100381,Jack Tizard School
100382,Cambridge School
100397,Ambler Primary School and Children's Centre
100401,Copenhagen Primary School
100402,Drayton Park Primary School
100403,Duncombe Primary School
100405,Gillespie Primary School
100406,Grafton Primary School
100407,Hanover Primary School
100408,Hargrave Park Primary School
100411,Laycock Primary School
100415,Moreland Primary School
100418,Pakeman Primary School
100422,Robert Blair Primary School
100425,Thornhill Primary School
100426,Vittoria Primary School
100428,Winton Primary School
100429,Yerbury Primary School
100430,Tufnell Park Primary School
100431,Highbury Quadrant Primary School
100432,Ashmount Primary School
100434,Prior Weston Primary School and Children's Centre
100435,Hungerford Primary School and Children's Centre
