URN,P8MEA,Year,RankASC,RankDESC,PercentileASC,PercentileDESC
100053,-0.26,2016,2392,1116,0.68,0.32
100054,0.32,2016,550,2956,0.16,0.84
100052,0.09,2016,1238,2269,0.35,0.65
100049,-0.11,2016,1973,1534,0.56,0.44
100059,0.41,2016,345,3162,0.1,0.9
100055,0.16,2016,1002,2506,0.29,0.71
100050,0.18,2016,940,2567,0.27,0.73
100051,-0.15,2016,2103,1404,0.6,0.4
100056,-0.37,2016,2614,893,0.75,0.25
137473,-0.35,2016,2582,926,0.74,0.26
100182,0.07,2016,1306,2201,0.37,0.63
138449,0.36,2016,459,3048,0.13,0.87
100192,-0.7,2016,2956,552,0.84,0.16
100183,0.03,2016,1456,2052,0.42,0.59
105135,0.0,2016,1574,1932,0.45,0.55
141716,0.74,2016,30,3476,0.01,0.99
100193,0.44,2016,283,3224,0.08,0.92
141309,-0.08,2016,1876,1631,0.54,0.47
100190,-0.05,2016,1756,1750,0.5,0.5
139786,-0.11,2016,1973,1534,0.56,0.44
141163,0.46,2016,254,3253,0.07,0.93
138547,-1.41,2016,3148,360,0.9,0.1
100204,-2.97,2016,3486,21,0.99,0.01
131609,0.24,2016,774,2734,0.22,0.78
100285,0.03,2016,1456,2052,0.42,0.59
135835,1.02,2016,7,3500,0.0,1.0
137442,0.25,2016,746,2760,0.21,0.79
100277,0.33,2016,524,2984,0.15,0.85
138143,-0.18,2016,2182,1325,0.62,0.38
134693,0.78,2016,22,3485,0.01,0.99
100282,0.47,2016,236,3272,0.07,0.93
131062,0.28,2016,659,2848,0.19,0.81
136137,0.39,2016,388,3118,0.11,0.89
100279,0.3,2016,602,2905,0.17,0.83
100284,-0.13,2016,2033,1474,0.58,0.42
133599,0.46,2016,254,3253,0.07,0.93
100307,-1.65,2016,3242,265,0.92,0.08
131752,0.23,2016,798,2709,0.23,0.77
139364,-0.19,2016,2214,1292,0.63,0.37
139365,0.71,2016,36,3470,0.01,0.99
136172,-0.05,2016,1756,1750,0.5,0.5
141617,0.14,2016,1072,2435,0.31,0.69
138607,0.17,2016,968,2539,0.28,0.72
137157,0.47,2016,236,3272,0.07,0.93
100359,-0.41,2016,2677,830,0.76,0.24
137935,0.4,2016,366,3142,0.1,0.9
136750,0.14,2016,1072,2435,0.31,0.69
100382,-1.94,2016,3348,158,0.95,0.05
135175,-1.68,2016,3256,251,0.93,0.07
100379,-1.2,2016,3104,404,0.89,0.12
131690,0.31,2016,575,2932,0.16,0.84
100458,0.65,2016,68,3438,0.02,0.98
135587,0.81,2016,16,3492,0.0,1.0
100457,0.41,2016,345,3162,0.1,0.9
100455,0.4,2016,366,3142,0.1,0.9
100452,-0.35,2016,2582,926,0.74,0.26
100453,-0.14,2016,2070,1437,0.59,0.41
100460,0.2,2016,882,2624,0.25,0.75
100459,0.21,2016,852,2654,0.24,0.76
134314,0.06,2016,1350,2156,0.39,0.61
100469,-1.44,2016,3159,348,0.9,0.1
141931,0.43,2016,302,3206,0.09,0.91
135531,0.38,2016,412,3094,0.12,0.88
140134,0.56,2016,128,3380,0.04,0.96
100502,0.11,2016,1166,2342,0.33,0.67
100503,0.1,2016,1198,2308,0.34,0.66
100640,-0.37,2016,2614,893,0.75,0.25
135389,0.01,2016,1532,1975,0.44,0.56
100638,0.67,2016,54,3452,0.02,0.98
137093,-0.12,2016,2000,1507,0.57,0.43
129649,-0.2,2016,2246,1260,0.64,0.36
100637,0.39,2016,388,3118,0.11,0.89
134815,0.1,2016,1198,2308,0.34,0.66
100625,0.51,2016,179,3328,0.05,0.95
100642,-0.33,2016,2542,964,0.73,0.27
100624,-0.01,2016,1619,1888,0.46,0.54
136450,0.55,2016,136,3370,0.04,0.96
100627,0.26,2016,718,2790,0.2,0.8
137966,-0.23,2016,2328,1180,0.66,0.34
100659,-2.17,2016,3393,114,0.97,0.03
100654,-1.78,2016,3300,208,0.94,0.06
100643,-1.5,2016,3176,330,0.91,0.09
100748,-0.48,2016,2776,730,0.79,0.21
100752,0.4,2016,366,3142,0.1,0.9
100742,-0.37,2016,2614,893,0.75,0.25
100740,0.0,2016,1574,1932,0.45,0.55
100745,-0.4,2016,2660,846,0.76,0.24
135073,0.16,2016,1002,2506,0.29,0.71
135070,-0.43,2016,2714,794,0.77,0.23
100747,-0.25,2016,2374,1133,0.68,0.32
100750,0.25,2016,746,2760,0.21,0.79
135843,0.25,2016,746,2760,0.21,0.79
135264,0.21,2016,852,2654,0.24,0.76
100743,-0.69,2016,2948,559,0.84,0.16
100741,0.33,2016,524,2984,0.15,0.85
100749,-0.27,2016,2410,1097,0.69,0.31
100760,-1.59,2016,3215,292,0.92,0.08
136423,-1.72,2016,3273,234,0.93,0.07
135584,0.06,2016,1350,2156,0.39,0.61
135315,-0.01,2016,1619,1888,0.46,0.54
135401,-0.47,2016,2766,740,0.79,0.21
136298,0.32,2016,550,2956,0.16,0.84
134222,0.15,2016,1035,2472,0.3,0.71
131747,0.19,2016,914,2594,0.26,0.74
134225,0.15,2016,1035,2472,0.3,0.71
135816,0.53,2016,158,3349,0.05,0.96
132711,0.93,2016,9,3498,0.0,1.0
136309,0.31,2016,575,2932,0.16,0.84
100859,0.21,2016,852,2654,0.24,0.76
138960,0.8,2016,18,3490,0.01,1.0
138961,0.04,2016,1420,2086,0.41,0.59
100849,0.14,2016,1072,2435,0.31,0.69
100857,0.91,2016,12,3494,0.0,1.0
100872,-1.57,2016,3205,302,0.91,0.09
140138,-3.19,2016,3496,11,1.0,0.0
100873,-1.58,2016,3210,296,0.92,0.08
137789,0.7,2016,40,3466,0.01,0.99
133289,-0.29,2016,2462,1046,0.7,0.3
100978,0.03,2016,1456,2052,0.42,0.59
100965,0.17,2016,968,2539,0.28,0.72
100975,0.41,2016,345,3162,0.1,0.9
100974,0.3,2016,602,2905,0.17,0.83
100966,0.03,2016,1456,2052,0.42,0.59
100967,0.14,2016,1072,2435,0.31,0.69
100968,0.29,2016,632,2876,0.18,0.82
100972,0.29,2016,632,2876,0.18,0.82
100979,-0.81,2016,3008,498,0.86,0.14
100970,0.39,2016,388,3118,0.11,0.89
100977,0.28,2016,659,2848,0.19,0.81
100969,0.19,2016,914,2594,0.26,0.74
100973,0.38,2016,412,3094,0.12,0.88
100986,-2.48,2016,3431,76,0.98,0.02
131598,-2.75,2016,3466,42,0.99,0.01
138681,0.0,2016,1574,1932,0.45,0.55
135316,0.48,2016,217,3290,0.06,0.94
139842,0.15,2016,1035,2472,0.3,0.71
136883,0.04,2016,1420,2086,0.41,0.59
101053,0.05,2016,1390,2118,0.4,0.6
137005,0.34,2016,498,3008,0.14,0.86
140985,1.14,2016,4,3503,0.0,1.0
141808,0.05,2016,1390,2118,0.4,0.6
135762,-0.21,2016,2269,1238,0.65,0.35
138682,0.17,2016,968,2539,0.28,0.72
101103,-2.03,2016,3368,140,0.96,0.04
131594,-2.21,2016,3402,105,0.97,0.03
101094,-2.46,2016,3428,80,0.98,0.02
135242,1.08,2016,6,3502,0.0,1.0
138313,0.48,2016,217,3290,0.06,0.94
130912,0.74,2016,30,3476,0.01,0.99
135676,0.33,2016,524,2984,0.15,0.85
137646,-0.2,2016,2246,1260,0.64,0.36
101154,0.48,2016,217,3290,0.06,0.94
139369,-0.06,2016,1794,1713,0.51,0.49
137353,0.44,2016,283,3224,0.08,0.92
131262,0.68,2016,50,3457,0.01,0.99
138312,-0.37,2016,2614,893,0.75,0.25
101247,0.3,2016,602,2905,0.17,0.83
101241,0.4,2016,366,3142,0.1,0.9
136028,0.35,2016,480,3028,0.14,0.86
101243,0.04,2016,1420,2086,0.41,0.59
101244,0.27,2016,688,2819,0.2,0.8
140945,-1.16,2016,3098,410,0.88,0.12
133561,0.19,2016,914,2594,0.26,0.74
101245,0.0,2016,1574,1932,0.45,0.55
141683,0.37,2016,435,3072,0.12,0.88
141178,-0.08,2016,1876,1631,0.54,0.47
131102,-1.46,2016,3166,342,0.9,0.1
136308,0.57,2016,121,3386,0.03,0.97
101365,0.49,2016,202,3304,0.06,0.94
137388,0.38,2016,412,3094,0.12,0.88
136418,0.79,2016,20,3488,0.01,0.99
138685,0.18,2016,940,2567,0.27,0.73
136658,0.06,2016,1350,2156,0.39,0.61
101362,0.28,2016,659,2848,0.19,0.81
101345,-0.12,2016,2000,1507,0.57,0.43
137539,0.43,2016,302,3206,0.09,0.91
137645,0.29,2016,632,2876,0.18,0.82
138051,0.55,2016,136,3370,0.04,0.96
135747,0.47,2016,236,3272,0.07,0.93
134798,0.37,2016,435,3072,0.12,0.88
137386,0.12,2016,1138,2369,0.32,0.68
137131,0.38,2016,412,3094,0.12,0.88
136290,0.7,2016,40,3466,0.01,0.99
101364,0.46,2016,254,3253,0.07,0.93
101360,-0.4,2016,2660,846,0.76,0.24
101361,0.57,2016,121,3386,0.03,0.97
137374,-0.45,2016,2744,762,0.78,0.22
137361,-0.13,2016,2033,1474,0.58,0.42
135507,0.78,2016,22,3485,0.01,0.99
101394,-1.69,2016,3262,245,0.93,0.07
136334,0.16,2016,1002,2506,0.29,0.71
136369,0.29,2016,632,2876,0.18,0.82
137138,-0.56,2016,2868,640,0.82,0.18
137965,0.01,2016,1532,1975,0.44,0.56
133769,-0.55,2016,2856,652,0.81,0.19
137423,0.11,2016,1166,2342,0.33,0.67
138686,-0.04,2016,1726,1782,0.49,0.51
